FeatureCombination	NormalizedSD
VerbFormMood	0.41218711843711836
VerbFormPerson	0.3423826173826173
VerbFormVoice	0.508909238909239
VerbFormNumber	0.37807609057609065
VerbFormTense	0.37865504061156224
VerbFormCase	0.36330280830280826
VerbFormPolarity	0.49268077601410937
VerbFormGender	0.40694226408512124
VerbFormAspect	0.5436791383219955
MoodPerson	0.2500238891543239
MoodVoice	0.39175824175824175
MoodNumber	0.33905478579391624
MoodTense	0.27655804843304843
MoodCase	0.21142246642246643
MoodPolarity	0.44023809523809526
MoodGender	0.33343508343508343
MoodAspect	0.28942743764172335
PersonVoice	0.42420838420838425
PersonNumber	0.24796809470722517
PersonTense	0.23150876900876904
PersonCase	0.3105372405372405
PersonPolarity	0.4874603174603174
PersonGender	0.28204314204314207
PersonAspect	0.3057539682539682
VoiceNumber	0.5067012617012617
VoiceTense	0.42904558404558407
VoiceCase	0.542997557997558
VoiceGender	0.5503552003552004
VoiceAspect	0.4075793650793651
NumberTense	0.40806970806970805
NumberCase	0.3143956043956044
NumberPolarity	0.5703174603174603
NumberGender	0.4348270248270248
NumberAspect	0.5087868480725624
TenseCase	0.3673565323565324
TensePolarity	0.34801587301587306
TenseGender	0.23393075178789471
TenseAspect	0.14719169719169717
CaseGender	0.318040293040293
PolarityAspect	0.316765873015873
GenderAspect	0.30496031746031743
